poem_nb|title|text
8|Песен за човека|на черква отишъл
8|Песен за човека|подире
8|Песен за човека|и... после му станало леко. -
8|Песен за човека|Смутено потръпнах. И стана ми тежко.
8|Песен за човека|Но аз
8|Песен за човека|понакуцвам
8|Песен за човека|в теория
8|Песен за човека|и рекох полека,
8|Песен за човека|без злоба,
8|Песен за човека|човешки,
8|Песен за човека|да пробвам със тази история. -
8|Песен за човека|Тя, случката, станала в село Могила.
8|Песен за човека|Бащата бил скътал
8|Песен за човека|пари.
8|Песен за човека|Синът ги подушил,
8|Песен за човека|вземал ги насила
8|Песен за човека|и после баща си затрил.
8|Песен за човека|Но в месец, или пък
8|Песен за човека|във седмица само
8|Песен за човека|властта го открила и... съд.
8|Песен за човека|Ала във съдът
8|Песен за човека|не потупват по рамото,
8|Песен за човека|а го осъждат на смърт.
8|Песен за човека|Отвели тогава злодея
8|Песен за човека|злосторен,
8|Песен за човека|затворили този субект.
8|Песен за човека|Но във затвора попаднал на хора
8|Песен за човека|и станал
8|Песен за човека|ч о в е к.
8|Песен за човека|Не зная с каква е
8|Песен за човека|закваса заквасен,
8|Песен за човека|не зная и как е
8|Песен за човека|замесен,
8|Песен за човека|но своята участ
8|Песен за човека|от книга по-ясна
8|Песен за човека|му станала с някаква песен.
8|Песен за човека|И после разправял:
8|Песен за човека|Брей, как се обърках
8|Песен за човека|и ето ти тебе
8|Песен за човека|бесило.
8|Песен за човека|Не стига ти хлеба,
8|Песен за човека|залитнеш
8|Песен за човека|от мъка
8|Песен за човека|и стъпиш в погрешност на гнило.
8|Песен за човека|И чакаш така като скот
8|Песен за човека|в скотобойна,
8|Песен за човека|въртиш се, в очите ти - ножа.
8|Песен за човека|Ех, лошо,
8|Песен за човека|ех, лошо
8|Песен за човека|светът е устроен!
8|Песен за човека|А може, по-иначе може...
8|Песен за човека|Тогава запявал той
8|Песен за човека|своята песен,
8|Песен за човека|запявал я бавно и тихо
8|Песен за човека|Пред него живота
8|Песен за човека|изплаввал чудесен -
8|Песен за човека|и после
8|Песен за човека|заспивал
8|Песен за човека|усмихнат...
8|Песен за човека|Но в коридова
8|Песен за човека|тихо говорят.
8|Песен за човека|Сетне секунда покой.
8|Песен за човека|Някой полека вратата отворил. -
8|Песен за човека|Хора. Зад тях часовой.
8|Песен за човека|Някой от групата,
8|Песен за човека|плахо и глухо,
8|Песен за човека|казал му:
8|Песен за човека|Хайде, стани.
8|Песен за човека|Гледали хората
8|Песен за човека|тъпо и кухо
8|Песен за човека|сивите, влажни стени.
8|Песен за човека|Онзи в леглото
8|Песен за човека|разбрал, че живота
8|Песен за човека|е свършен за него,
8|Песен за човека|и в миг
8|Песен за човека|скочил, избърсал потта от челото
8|Песен за човека|и гледал с див поглед
8|Песен за човека|на бик.
8|Песен за човека|Но лека-полека
8|Песен за човека|човека се сетил -
8|Песен за човека|страхът е без полза,
8|Песен за човека|ще мре.
8|Песен за човека|И някак в душата му
8|Песен за човека|станало светло.
8|Песен за човека|- Да тръгнем ли? - казал.
8|Песен за човека|- Добре.
8|Песен за човека|Той тръгнал. След него
8|Песен за човека|те тръгнали също
8|Песен за човека|и чувствали някакъв хлад.
8|Песен за човека|Войникът си казал:
8|Песен за човека|Веднъж да се свърши...
8|Песен за човека|Загазил си здравата, брат.
8|Песен за човека|Във коридора
8|Песен за човека|тихо говорят.
8|Песен за човека|Мрак се в ъглите таи.
8|Песен за човека|Слезнали после на двора,
8|Песен за човека|а горе
8|Песен за човека|вече зората блести.
8|Песен за човека|Човекът погледнал зората,
8|Песен за човека|в която
8|Песен за човека|се къпела с блясък звезда,
8|Песен за човека|и мислел за своята
8|Песен за човека|тежка,
8|Песен за човека|човешка,
8|Песен за човека|жестока,
8|Песен за човека|безока
8|Песен за човека|съдба.
8|Песен за човека|Тя - моята - свърши...
8|Песен за човека|Ще висна обесен.
8|Песен за човека|Но белким се свършва
8|Песен за човека|със мен?
8|Песен за човека|Животът ще дойде по-хубав
8|Песен за човека|от песен,
8|Песен за човека|по-хубав от пролетен ден...
8|Песен за човека|Споменал за песен
8|Песен за човека|и нещо се сетил.
8|Песен за човека|В очите му пламък цъфтял.
8|Песен за човека|Усмихнал се топло, широко и светло,
8|Песен за човека|отдръпнал се, после запял.
8|Песен за човека|Как мислите, може би
8|Песен за човека|тука се крие
8|Песен за човека|един истеричен комплекс?
8|Песен за човека|Мислете тъй както си щете,
8|Песен за човека|но вие
8|Песен за човека|грешите, приятелко, днес. -
8|Песен за човека|Човекът спокойно, тъй - дума
8|Песен за човека|след дума
8|Песен за човека|и твърдо редил песента.
8|Песен за човека|Онези го гледали
8|Песен за човека|с поглед безумен,
8|Песен за човека|онези го гледали с страх.
8|Песен за човека|Дори и затвора
8|Песен за човека|треперел позорно,
8|Песен за човека|и мрака ударил на бег.
8|Песен за човека|Усмихнати чули звездите отгоре
8|Песен за човека|и викнали:
8|Песен за човека|Браво, човек!
8|Песен за човека|Нататък е ясно. Въжето
8|Песен за човека|изкусно
8|Песен за човека|през шията, после
8|Песен за човека|смъртта.
8|Песен за човека|Но там в разкривените,
8|Песен за човека|в сините устни
8|Песен за човека|напирала пак песента.
8|Песен за човека|И тук започва развръзката, значи.
8|Песен за човека|Как мислиш, читателю, ти? -
8|Песен за човека|Тя, бедната дама, започна да плаче,
8|Песен за човека|започна във транс да крещи:
8|Песен за човека|Ужасно! Ужасно! - Разказвате,
8|Песен за човека|сякаш
8|Песен за човека|като че там сте били!...
8|Песен за човека|Какъв ти тук ужас?! -
8|Песен за човека|Той пеел човека. -
8|Песен за човека|Това е прекрасно, нали?
9|Родина|Над тебе Пирин 
9|Родина|издига гранити, 
9|Родина|обвити във сиви мъгли. 
9|Родина|Орли над бедни села 
9|Родина|размахват крила 
9|Родина|и хала в полята пищи.
9|Родина|А бяха години, 
9|Родина|когато невинно 
9|Родина|люляха ме празни мечти. 
9|Родина|Живота бе ведър 
9|Родина|и лесен, 
9|Родина|живота бе щедър 
9|Родина|и песен бе ти.
9|Родина|Но ето - 
9|Родина|преминах 
9|Родина|през дим, 
9|Родина|през масло 
9|Родина|и машини, 
9|Родина|преминах през 
9|Родина|гнет и тегло - 
9|Родина|вред, където се борят 
9|Родина|за хлеб.
9|Родина|И нещо се счупи 
9|Родина|във мене. 
9|Родина|Простенах от болка, 
9|Родина|но бях без изход. 
9|Родина|Погледнах надире 
9|Родина|и плюх озлобено 
9|Родина|и в теб, 
9|Родина|и в самия живот.
9|Родина|Сега си ми близка, 
9|Родина|по-близка от майка дори, 
9|Родина|но днеска ме плиска 
9|Родина|ненужно пролятата кръв, 
9|Родина|насън ме души 
9|Родина|площадния кървав двубой 
9|Родина|на твои герои, 
9|Родина|платени със чужди пари... 
9|Родина|Тежи ми, Родино, 
9|Родина|кошмарно жестоко тежи 
9|Родина|димящата кръв 
9|Родина|и аз ще те питам - 
9|Родина|всичко това 
9|Родина|за теб ли бе нужно, 
9|Родина|кажи?
9|Родина|Вред мрак. 
9|Родина|И в мрака - тегло и робия. 
9|Родина|Глад. 
9|Родина|Остана стотици години назад. 
9|Родина|А нейде живота пулсира, 
9|Родина|израства 
9|Родина|завод 
9|Родина|след завод, 
9|Родина|бръмчат пропелери... 
9|Родина|А моят народ 
9|Родина|работи, 
9|Родина|умира, 
9|Родина|както в дълбоката 
9|Родина|бронзова ера.
9|Родина|Аз пак те обичам, 
9|Родина|Родино на Гоце и Даме, 
9|Родина|защото израснах, 
9|Родина|защото закрепнах във Теб. 
9|Родина|И нося в сърцето си младо 
9|Родина|тревожното знаме 
9|Родина|и вечния устрем 
9|Родина|на всички без покрив и хлеб.
10|Земя|Тази земя,
10|Земя|по която тъпча сега,
10|Земя|тази земя,
10|Земя|която пролетен вятър пробужда,
10|Земя|тази земя - не е моя земя,
10|Земя|тази земя,
10|Земя|простете, е чужда.
10|Земя|Сутрин тръгвам.
10|Земя|Фабричният път
10|Земя|го задръства
10|Земя|с рубашки
10|Земя|безброя.
10|Земя|Ние сме слети с сърцето,
